Batch,Oven,Shelf,Item_ID,Recipe,p_i,r_i,delta_t,m_i,c_i,Area,Batch_Duration
1,2,1.0,281,1,90.05,18.81,45,7.47,11.34,83984.0,97.75
1,2,2.0,277,1,83.32,18.33,45,7.89,10.44,74226.0,97.75
1,2,2.0,275,1,90.16,15.86,30,6.29,9.56,66220.0,97.75
1,2,1.0,269,1,85.25,14.31,30,6.49,7.81,41021.0,97.75
1,2,3.0,257,1,83.53,10.54,45,5.34,5.2,28600.0,97.75
1,2,3.0,263,1,71.5,11.51,45,6.25,5.26,22500.0,97.75
1,2,3.0,226,1,80.46,11.52,60,4.89,6.62,20757.0,97.75
1,2,1.0,249,1,83.77,10.81,60,6.21,4.6,19845.0,97.75
1,2,3.0,228,1,83.15,10.75,60,6.21,4.54,19536.0,97.75
1,2,3.0,268,1,83.84,9.43,45,5.21,4.22,19536.0,97.75
1,2,3.0,239,1,77.77,9.9,60,5.71,4.19,17160.0,97.75
1,2,3.0,232,1,89.6,11.11,45,6.61,4.51,15946.0,97.75
1,2,4.0,230,1,83.15,11.41,30,7.03,4.38,12495.0,97.75
1,2,4.0,225,1,86.29,10.61,30,5.17,5.44,12321.0,97.75
1,2,4.0,250,1,96.18,12.67,30,7.9,4.77,11178.0,97.75
1,2,4.0,211,1,90.6,9.53,60,5.53,4.0,10914.0,97.75
1,2,4.0,246,1,95.98,9.7,60,6.01,3.68,10395.0,97.75
1,2,4.0,189,1,90.52,8.84,45,5.48,3.36,8100.0,97.75
1,2,4.0,186,1,84.38,8.13,60,5.01,3.12,7450.0,97.75
1,2,4.0,198,1,90.37,8.72,60,5.47,3.25,7296.0,97.75
1,2,4.0,183,1,83.54,10.8,30,6.91,3.89,6728.0,97.75
1,2,4.0,237,1,89.57,11.38,30,7.36,4.02,6222.0,97.75
1,2,4.0,199,1,78.04,7.18,60,4.53,2.65,5704.0,97.75
1,2,2.0,234,1,83.85,7.71,30,4.98,2.73,4355.0,97.75
1,2,4.0,185,1,84.38,7.58,45,4.92,2.66,2660.0,97.75
1,2,4.0,131,1,91.6,12.23,30,7.34,4.89,2556.0,97.75
1,2,4.0,163,1,78.21,8.21,45,5.44,2.77,2394.0,97.75
1,2,4.0,197,1,84.69,7.54,60,4.9,2.64,2280.0,97.75
1,2,4.0,153,1,83.82,7.43,30,4.92,2.5,2160.0,97.75
1,2,4.0,154,1,90.48,10.96,60,7.28,3.69,2100.0,97.75
1,2,4.0,112,1,97.75,9.02,60,5.79,3.23,2088.0,97.75
1,2,4.0,200,1,96.96,11.69,45,7.7,3.99,1932.0,97.75
1,2,4.0,146,1,84.47,8.79,60,5.86,2.93,1560.0,97.75
1,2,4.0,173,1,77.74,9.53,45,6.35,3.18,1504.0,97.75
1,2,4.0,125,1,79.79,8.87,60,5.38,3.49,1480.0,97.75
1,2,4.0,151,1,96.65,8.73,30,5.82,2.91,1480.0,97.75
1,2,4.0,114,1,92.33,8.23,60,5.29,2.93,1444.0,97.75
1,2,4.0,92,1,85.29,7.57,45,4.86,2.71,1428.0,97.75
1,2,4.0,113,1,85.65,8.91,30,5.81,3.1,1411.0,97.75
1,2,4.0,176,1,97.02,8.7,30,5.8,2.9,1288.0,97.75
1,2,4.0,111,1,91.42,10.95,30,7.2,3.75,1134.0,97.75
1,2,3.0,94,1,91.83,8.23,45,5.31,2.92,1080.0,97.75
1,2,4.0,115,1,78.96,8.09,30,5.35,2.74,960.0,97.75
1,2,4.0,96,1,91.59,9.54,45,6.24,3.29,792.0,97.75
1,2,4.0,70,1,85.33,7.28,45,4.85,2.43,646.0,97.75
1,2,4.0,62,1,90.94,9.37,30,6.25,3.11,528.0,97.75
1,2,4.0,150,1,78.18,9.42,45,6.32,3.1,500.0,97.75
1,2,4.0,59,1,97.36,11.47,45,7.66,3.81,480.0,97.75
1,2,4.0,55,1,85.03,8.67,60,5.79,2.88,416.0,97.75
1,2,4.0,75,1,91.21,10.77,45,7.2,3.57,384.0,97.75
1,2,1.0,63,1,78.97,9.38,45,6.29,3.09,294.0,97.75
1,2,2.0,56,1,91.08,7.9,60,5.3,2.61,264.0,97.75
1,2,4.0,25,1,84.45,10.07,30,6.76,3.31,240.0,97.75
1,2,4.0,46,1,96.86,8.59,45,5.77,2.83,221.0,97.75
1,2,4.0,27,1,90.86,9.32,45,6.25,3.07,182.0,97.75
1,2,4.0,81,1,78.29,7.93,60,5.32,2.61,168.0,97.75
1,2,4.0,78,1,91.01,7.88,45,5.28,2.6,156.0,97.75
1,2,4.0,50,1,96.84,9.99,30,6.7,3.29,120.0,97.75
1,2,2.0,33,1,97.34,10.0,45,6.7,3.29,54.0,97.75
1,2,4.0,17,1,78.19,6.53,60,4.39,2.14,42.0,97.75
2,2,1.0,280,2,77.77,13.0,60,5.24,7.76,54114.0,99.29
2,2,1.0,270,2,78.55,11.67,45,5.04,6.63,37733.0,99.29
2,2,1.0,267,2,77.81,11.0,30,5.0,5.99,36828.0,99.29
2,2,2.0,259,2,83.4,13.55,45,7.27,6.27,30336.0,99.29
2,2,2.0,256,2,77.3,11.1,45,5.81,5.29,26800.0,99.29
2,2,2.0,264,2,96.36,13.21,60,7.17,6.04,26368.0,99.29
2,2,2.0,255,2,78.13,9.36,45,4.82,4.54,23716.0,99.29
2,2,2.0,266,2,77.69,9.37,30,4.82,4.55,23548.0,99.29
2,2,3.0,261,2,96.67,11.32,30,6.21,5.11,23236.0,99.29
2,2,3.0,262,2,83.15,11.21,45,6.21,5.0,22932.0,99.29
2,2,3.0,227,2,96.25,12.03,30,7.09,4.94,18090.0,99.29
2,2,1.0,208,2,84.61,12.5,45,7.08,5.42,16146.0,99.29
2,2,3.0,224,2,85.32,10.21,60,5.19,5.02,15180.0,99.29
2,2,2.0,258,2,84.51,10.37,45,6.07,4.3,13940.0,99.29
2,2,3.0,236,2,83.26,11.51,60,7.04,4.48,13800.0,99.29
2,2,3.0,229,2,83.72,8.78,60,5.18,3.6,13632.0,99.29
2,2,3.0,212,2,78.37,9.97,45,5.63,4.35,13200.0,99.29
2,2,3.0,243,2,89.38,10.72,45,6.54,4.18,13125.0,99.29
2,2,3.0,215,2,79.17,8.48,45,4.62,3.86,10672.0,99.29
2,2,4.0,216,2,90.85,11.1,45,6.47,4.64,9676.0,99.29
2,2,4.0,205,2,77.75,10.63,60,6.48,4.15,8771.0,99.29
2,2,4.0,217,2,80.84,10.69,60,5.57,5.12,7248.0,99.29
2,2,4.0,214,2,96.72,11.01,45,6.87,4.14,6758.0,99.29
2,2,4.0,242,2,96.07,12.09,45,7.83,4.26,6120.0,99.29
2,2,4.0,191,2,77.54,8.52,60,5.47,3.05,4968.0,99.29
2,2,4.0,196,2,96.63,12.04,45,7.77,4.27,4635.0,99.29
2,2,4.0,128,2,98.95,10.4,60,5.9,4.5,4176.0,99.29
2,2,4.0,120,2,99.08,11.97,45,6.86,5.11,3864.0,99.29
2,2,4.0,194,2,96.71,9.02,30,5.87,3.15,3850.0,99.29
2,2,4.0,166,2,90.63,8.28,60,5.41,2.87,3481.0,99.29
2,2,4.0,180,2,78.16,8.39,30,5.43,2.97,3362.0,99.29
2,2,4.0,121,2,99.29,10.43,45,5.89,4.55,3328.0,99.29
2,2,4.0,157,2,83.71,8.99,45,5.9,3.09,3135.0,99.29
2,2,4.0,193,2,96.87,11.75,45,7.72,4.03,2394.0,99.29
2,2,4.0,106,2,97.11,10.43,30,6.77,3.66,2250.0,99.29
2,2,4.0,97,2,96.99,8.9,45,5.82,3.09,2085.0,99.29
2,2,4.0,126,2,98.62,11.1,45,6.8,4.31,2070.0,99.29
2,2,4.0,174,2,84.6,8.85,30,5.87,2.98,1927.0,99.29
2,2,4.0,107,2,79.03,8.23,60,5.37,2.85,1729.0,99.29
2,2,4.0,160,2,84.54,7.38,45,4.9,2.48,1624.0,99.29
2,2,4.0,161,2,83.88,8.8,45,5.87,2.94,1584.0,99.29
2,2,4.0,110,2,90.94,11.04,30,7.23,3.81,1581.0,99.29
2,2,4.0,105,2,79.02,6.92,60,4.4,2.52,1484.0,99.29
2,2,4.0,168,2,90.19,10.87,30,7.25,3.61,1416.0,99.29
2,2,4.0,101,2,78.24,6.79,60,4.43,2.36,1340.0,99.29
2,2,3.0,100,2,72.26,7.43,45,4.91,2.52,1278.0,99.29
2,2,4.0,164,2,97.2,11.56,30,7.71,3.85,1260.0,99.29
2,2,4.0,162,2,77.96,9.48,30,6.33,3.14,1200.0,99.29
2,2,4.0,177,2,97.08,10.12,30,6.76,3.37,1156.0,99.29
2,2,4.0,82,2,90.99,8.01,30,5.33,2.68,1045.0,99.29
2,2,4.0,88,2,90.89,8.2,30,5.34,2.86,1043.0,99.29
2,2,4.0,76,2,91.38,8.02,45,5.32,2.7,1003.0,99.29
2,2,4.0,142,2,78.5,9.46,45,6.33,3.13,1000.0,99.29
2,2,4.0,90,2,84.72,7.51,45,4.87,2.64,945.0,99.29
2,2,4.0,172,2,90.8,10.83,60,7.26,3.57,897.0,99.29
2,2,4.0,52,2,78.76,9.46,45,6.31,3.15,864.0,99.29
2,2,4.0,170,2,83.95,10.13,45,6.78,3.35,812.0,99.29
2,2,4.0,169,2,84.32,8.71,45,5.84,2.87,782.0,99.29
2,2,4.0,175,2,90.26,9.39,30,6.28,3.1,777.0,99.29
2,2,4.0,148,2,90.37,7.97,45,5.34,2.63,768.0,99.29
2,2,4.0,73,2,97.39,8.66,60,5.77,2.89,742.0,99.29
2,2,4.0,85,2,84.97,8.7,60,5.82,2.88,738.0,99.29
2,2,4.0,104,2,78.64,8.19,60,5.37,2.82,700.0,99.29
2,2,4.0,147,2,84.72,7.27,60,4.87,2.4,620.0,99.29
2,2,4.0,103,2,98.03,10.27,30,6.71,3.56,610.0,99.29
2,2,4.0,60,2,78.61,9.41,45,6.3,3.11,493.0,99.29
2,2,4.0,61,2,90.47,10.77,30,7.21,3.55,460.0,99.29
2,2,1.0,13,2,97.03,8.6,30,5.77,2.83,320.0,99.29
2,2,2.0,4,2,78.1,6.55,30,4.4,2.14,280.0,99.29
2,2,4.0,84,2,78.3,6.53,60,4.38,2.15,273.0,99.29
2,2,4.0,54,2,78.4,9.37,30,6.29,3.08,225.0,99.29
2,2,4.0,11,2,97.27,11.43,30,7.67,3.76,198.0,99.29
2,2,4.0,53,2,85.16,8.63,30,5.78,2.85,195.0,99.29
2,2,4.0,2,2,97.45,11.43,30,7.66,3.76,190.0,99.29
2,2,4.0,65,2,84.93,8.63,45,5.79,2.84,185.0,99.29
2,2,4.0,22,2,96.98,10.01,45,6.72,3.29,176.0,99.29
2,2,2.0,42,2,84.89,8.64,30,5.81,2.83,152.0,99.29
2,2,4.0,14,2,90.69,7.9,30,5.31,2.59,130.0,99.29
2,2,4.0,51,2,78.03,9.36,60,6.29,3.07,119.0,99.29
2,2,4.0,12,2,85.11,8.63,30,5.8,2.83,108.0,99.29
2,2,4.0,41,2,97.31,8.57,45,5.75,2.82,95.0,99.29
2,2,4.0,9,2,84.88,8.63,45,5.8,2.83,90.0,99.29
2,2,4.0,10,2,90.85,10.74,30,7.2,3.53,90.0,99.29
2,2,4.0,19,2,90.49,9.32,45,6.25,3.06,90.0,99.29
2,2,4.0,21,2,72.5,7.26,60,4.89,2.38,90.0,99.29
2,2,4.0,49,2,91.38,10.72,30,7.2,3.53,85.0,99.29
2,2,4.0,8,2,96.92,8.57,45,5.75,2.82,81.0,99.29
2,2,4.0,7,2,84.59,7.22,60,4.85,2.37,80.0,99.29
2,2,4.0,24,2,84.86,7.21,30,4.85,2.36,75.0,99.29
2,2,4.0,20,2,91.19,9.31,30,6.25,3.06,70.0,99.29
2,2,4.0,40,2,72.36,8.67,45,5.83,2.84,60.0,99.29
2,2,4.0,45,2,97.58,10.0,30,6.71,3.29,60.0,99.29
2,2,4.0,6,2,72.43,8.68,60,5.83,2.85,45.0,99.29
2,2,4.0,29,2,72.6,5.84,30,3.93,1.91,42.0,99.29
2,2,4.0,48,2,97.21,9.99,30,6.7,3.29,40.0,99.29
3,2,1.0,283,1,77.64,15.85,45,5.56,10.29,83486.0,77.64
3,2,1.0,279,1,76.5,14.23,30,6.3,7.94,56434.0,77.64
3,2,2.0,273,1,72.64,14.69,30,5.76,8.92,53250.0,77.64
3,2,2.0,272,1,71.54,10.32,30,4.5,5.82,30672.0,77.64
3,2,2.0,254,1,71.09,10.46,30,5.37,5.09,27702.0,77.64
3,2,2.0,251,1,77.43,8.98,45,4.78,4.2,21218.0,77.64
3,2,3.0,265,1,71.22,9.16,60,5.19,3.96,15860.0,77.64
3,2,2.0,204,1,71.93,9.07,30,5.12,3.95,10212.0,77.64
3,2,3.0,231,1,71.02,6.94,30,4.17,2.77,9856.0,77.64
3,2,3.0,219,1,73.17,8.97,60,4.28,4.69,9261.0,77.64
3,2,3.0,179,1,72.07,9.79,30,6.03,3.76,8820.0,77.64
3,2,3.0,192,1,71.42,9.65,45,6.01,3.64,7695.0,77.64
3,2,3.0,238,1,71.3,7.9,60,5.05,2.85,5767.0,77.64
3,2,1.0,134,1,73.56,10.81,30,6.0,4.81,4658.0,77.64
3,2,3.0,118,1,73.37,10.2,60,5.95,4.25,4160.0,77.64
3,2,3.0,129,1,74.04,7.3,45,4.05,3.26,3648.0,77.64
3,2,3.0,155,1,71.63,9.08,30,5.95,3.13,3540.0,77.64
3,2,3.0,159,1,72.01,8.97,45,5.92,3.04,2576.0,77.64
3,2,3.0,156,1,71.73,8.95,45,5.94,3.02,2340.0,77.64
3,2,2.0,127,1,74.39,7.29,30,4.0,3.29,1926.0,77.64
3,2,3.0,91,1,72.6,7.62,30,4.92,2.7,1785.0,77.64
3,2,3.0,102,1,72.63,6.09,60,3.95,2.13,1480.0,77.64
3,2,3.0,123,1,73.98,10.17,60,5.93,4.24,1290.0,77.64
3,2,3.0,109,1,72.19,7.56,45,4.92,2.64,1136.0,77.64
3,2,3.0,66,1,72.41,5.95,60,3.96,1.99,1044.0,77.64
3,2,3.0,144,1,71.54,5.93,60,3.98,1.95,925.0,77.64
3,2,3.0,68,1,72.48,7.33,60,4.9,2.43,705.0,77.64
3,2,1.0,44,1,71.8,8.7,60,5.85,2.85,280.0,77.64
3,2,1.0,72,1,72.48,5.85,30,3.93,1.92,270.0,77.64
3,2,2.0,35,1,72.34,8.69,45,5.85,2.84,140.0,77.64
3,2,3.0,1,1,71.68,7.28,45,4.9,2.37,120.0,77.64
4,2,1.0,282,3,84.76,20.64,60,8.05,12.6,92862.0,100.71
4,2,2.0,278,3,77.19,15.6,45,7.23,8.37,56012.0,100.71
4,2,1.0,260,3,84.08,10.52,60,5.35,5.17,27170.0,100.71
4,2,2.0,252,3,71.65,10.38,45,5.36,5.02,26130.0,100.71
4,2,1.0,253,3,71.81,10.35,60,5.35,5.0,24765.0,100.71
4,2,2.0,220,3,86.91,12.95,45,5.43,7.52,24681.0,100.71
4,2,2.0,276,3,83.61,9.59,30,5.26,4.33,21648.0,100.71
4,2,3.0,222,3,92.81,12.86,30,5.82,7.04,20633.0,100.71
4,2,3.0,223,3,98.79,14.91,45,7.22,7.69,18126.0,100.71
4,2,2.0,221,3,72.4,10.41,60,5.25,5.16,13299.0,100.71
4,2,3.0,241,3,84.04,11.46,60,7.02,4.44,12728.0,100.71
4,2,3.0,240,3,71.37,7.1,60,4.21,2.89,11270.0,100.71
4,2,3.0,213,3,97.3,13.17,45,7.9,5.28,11200.0,100.71
4,2,3.0,247,3,77.11,9.09,60,5.58,3.51,10836.0,100.71
4,2,3.0,210,3,71.39,8.64,30,5.11,3.53,10528.0,100.71
4,2,3.0,206,3,84.08,8.85,30,5.08,3.77,10471.0,100.71
4,2,3.0,235,3,71.72,6.9,45,4.17,2.73,9191.0,100.71
4,2,3.0,209,3,96.83,11.64,45,6.92,4.72,8310.0,100.71
4,2,3.0,218,3,98.59,12.81,30,6.99,5.82,8303.0,100.71
4,2,3.0,233,3,77.59,8.73,45,5.53,3.2,7275.0,100.71
4,2,4.0,207,3,96.75,9.73,30,5.92,3.81,6976.0,100.71
4,2,4.0,137,3,87.83,13.86,30,6.23,7.63,6930.0,100.71
4,2,4.0,178,3,84.25,7.97,45,5.0,2.97,6811.0,100.71
4,2,3.0,141,3,73.52,9.85,30,4.32,5.53,6279.0,100.71
4,2,4.0,203,3,78.34,8.71,45,5.49,3.22,6160.0,100.71
4,2,4.0,202,3,84.09,10.78,45,6.9,3.88,6018.0,100.71
4,2,4.0,135,3,74.26,11.5,30,6.05,5.45,4992.0,100.71
4,2,4.0,119,3,93.51,9.94,30,5.44,4.5,4482.0,100.71
4,2,4.0,182,3,90.9,8.49,30,5.4,3.09,4356.0,100.71
4,2,4.0,195,3,96.69,9.1,30,5.88,3.22,4292.0,100.71
4,2,4.0,138,3,88.43,12.61,60,6.08,6.53,4136.0,100.71
4,2,4.0,140,3,100.71,11.9,60,5.98,5.92,3912.0,100.71
4,2,4.0,130,3,99.06,10.12,60,5.84,4.28,3451.0,100.71
4,2,2.0,188,3,96.9,11.86,45,7.74,4.12,3240.0,100.71
4,2,4.0,201,3,90.7,8.29,60,5.38,2.9,3240.0,100.71
4,2,4.0,122,3,79.34,9.26,60,5.46,3.81,2952.0,100.71
4,2,4.0,158,3,71.23,8.98,30,5.93,3.04,2754.0,100.71
4,2,4.0,152,3,84.12,7.51,30,4.95,2.56,2655.0,100.71
4,2,4.0,139,3,92.95,13.92,30,7.47,6.45,2454.0,100.71
4,2,4.0,190,3,96.42,11.69,45,7.74,3.96,2440.0,100.71
4,2,4.0,133,3,91.35,9.36,60,5.44,3.91,2400.0,100.71
4,2,4.0,165,3,96.68,10.27,30,6.8,3.47,2385.0,100.71
4,2,4.0,136,3,99.52,11.5,30,6.01,5.5,2382.0,100.71
4,2,4.0,171,3,78.03,8.19,60,5.43,2.76,2350.0,100.71
4,2,4.0,124,3,97.99,9.51,45,5.84,3.68,2310.0,100.71
4,2,4.0,181,3,72.15,6.09,30,4.0,2.09,2268.0,100.71
4,2,4.0,117,3,79.72,7.61,45,4.48,3.14,2043.0,100.71
4,2,4.0,167,3,90.15,10.95,60,7.29,3.66,1890.0,100.71
4,2,4.0,132,3,98.64,11.19,30,6.76,4.42,1632.0,100.71
4,2,4.0,116,3,92.85,12.5,60,7.32,5.18,1620.0,100.71
4,2,4.0,93,3,72.06,7.55,45,4.93,2.62,1529.0,100.71
4,2,4.0,145,3,90.92,9.44,60,6.3,3.14,1300.0,100.71
4,2,4.0,71,3,71.74,8.8,60,5.87,2.92,1160.0,100.71
4,2,4.0,64,3,72.36,5.95,30,3.96,1.99,1040.0,100.71
4,2,4.0,67,3,78.63,8.04,60,5.37,2.67,940.0,100.71
4,2,4.0,108,3,85.77,10.22,45,6.74,3.48,858.0,100.71
4,2,4.0,87,3,79.02,8.09,60,5.34,2.75,832.0,100.71
4,2,4.0,98,3,90.48,10.92,30,7.23,3.69,780.0,100.71
4,2,4.0,77,3,96.91,8.65,30,5.77,2.87,728.0,100.71
4,2,4.0,89,3,85.44,7.37,45,4.86,2.51,728.0,100.71
4,2,4.0,99,3,72.94,5.95,45,3.94,2.01,602.0,100.71
4,2,4.0,95,3,79.85,8.18,45,5.32,2.86,564.0,100.71
4,2,4.0,80,3,96.93,11.47,30,7.67,3.8,551.0,100.71
4,2,4.0,57,3,96.92,11.46,60,7.66,3.8,468.0,100.71
4,2,4.0,69,3,96.73,10.03,45,6.71,3.31,424.0,100.71
4,2,1.0,31,3,78.08,9.39,30,6.31,3.09,342.0,100.71
4,2,4.0,79,3,96.93,10.01,60,6.72,3.3,336.0,100.71
4,2,4.0,32,3,78.33,7.97,60,5.36,2.62,323.0,100.71
4,2,4.0,16,3,84.23,7.24,60,4.86,2.37,320.0,100.71
4,2,4.0,28,3,90.95,7.91,45,5.31,2.6,272.0,100.71
4,2,4.0,5,3,90.94,7.91,60,5.32,2.6,247.0,100.71
4,2,4.0,18,3,78.2,6.54,45,4.4,2.14,224.0,100.71
4,2,4.0,23,3,71.87,7.28,60,4.9,2.38,220.0,100.71
4,2,4.0,43,3,78.15,7.95,30,5.34,2.61,176.0,100.71
4,2,4.0,37,3,97.3,10.01,30,6.72,3.29,168.0,100.71
4,2,2.0,30,3,72.64,5.84,45,3.93,1.91,133.0,100.71
4,2,4.0,34,3,96.86,8.58,45,5.76,2.82,126.0,100.71
4,2,4.0,3,3,84.9,8.63,60,5.8,2.83,112.0,100.71
4,2,4.0,15,3,97.31,8.58,60,5.75,2.82,90.0,100.71
4,2,4.0,38,3,84.37,8.63,45,5.8,2.83,64.0,100.71
5,2,1.0,271,3,71.2,11.8,45,5.5,6.3,35805.0,71.2
5,2,1.0,245,3,70.94,7.96,45,4.34,3.63,19596.0,71.2
5,2,1.0,248,3,70.94,9.65,60,6.08,3.57,8736.0,71.2
6,2,1.0,284,2,71.18,14.11,60,5.03,9.08,72910.0,72.18
6,2,1.0,274,2,72.18,10.19,60,5.28,4.91,20544.0,72.18
6,2,1.0,244,2,70.91,8.57,45,5.19,3.38,11218.0,72.18
6,2,1.0,184,2,71.43,9.4,60,5.98,3.43,5904.0,72.18
6,2,1.0,187,2,72.18,6.44,30,4.06,2.37,5050.0,72.18
6,2,1.0,143,2,71.48,7.55,60,4.98,2.56,2650.0,72.18
6,2,1.0,149,2,71.36,8.81,45,5.91,2.91,1175.0,72.18
6,2,1.0,74,2,72.09,8.74,45,5.86,2.88,672.0,72.18
6,2,1.0,86,2,72.09,7.33,45,4.89,2.44,616.0,72.18
6,2,1.0,58,2,71.92,7.31,60,4.89,2.42,552.0,72.18
6,2,1.0,39,2,71.97,5.87,45,3.95,1.92,306.0,72.18
6,2,1.0,26,2,71.97,7.28,45,4.9,2.39,304.0,72.18
6,2,1.0,83,2,72.05,7.25,30,4.87,2.38,150.0,72.18
6,2,1.0,36,2,72.13,8.69,30,5.84,2.85,144.0,72.18
6,2,1.0,47,2,71.98,8.69,30,5.84,2.85,84.0,72.18
