Batch,Oven,Shelf,Item_ID,Recipe,p_i,r_i,delta_t,m_i,c_i,X_Start,Y_Start
1,1.0,1.0,57.0,3.0,96.92,11.46,60.0,7.66,3.8,269.0,462.0
1,1.0,1.0,79.0,3.0,96.93,10.01,60.0,6.72,3.3,224.0,439.0
1,1.0,1.0,31.0,3.0,78.08,9.39,30.0,6.31,3.09,231.0,477.0
1,1.0,1.0,16.0,3.0,84.23,7.24,60.0,4.86,2.37,249.0,477.0
1,1.0,1.0,28.0,3.0,90.95,7.91,45.0,5.31,2.6,127.0,487.0
1,1.0,1.0,5.0,3.0,90.94,7.91,60.0,5.32,2.6,143.0,487.0
1,1.0,1.0,18.0,3.0,78.2,6.54,45.0,4.4,2.14,162.0,487.0
1,1.0,1.0,3.0,3.0,84.9,8.63,60.0,5.8,2.83,224.0,487.0
1,1.0,1.0,15.0,3.0,97.31,8.58,60.0,5.75,2.82,178.0,433.0
1,1.0,1.0,38.0,3.0,84.37,8.63,45.0,5.8,2.83,231.0,496.0
1,1.0,1.0,278.0,3.0,77.19,15.6,45.0,7.23,8.37,0.0,0.0
1,1.0,1.0,260.0,3.0,84.08,10.52,60.0,5.35,5.17,0.0,209.0
1,1.0,1.0,252.0,3.0,71.65,10.38,45.0,5.36,5.02,143.0,209.0
1,1.0,1.0,240.0,3.0,71.37,7.1,60.0,4.21,2.89,0.0,399.0
1,1.0,1.0,130.0,3.0,99.06,10.12,60.0,5.84,4.28,268.0,0.0
1,1.0,1.0,122.0,3.0,79.34,9.26,60.0,5.46,3.81,273.0,209.0
1,1.0,1.0,190.0,3.0,96.42,11.69,45.0,7.74,3.96,184.0,433.0
1,1.0,1.0,181.0,3.0,72.15,6.09,30.0,4.0,2.09,115.0,399.0
1,1.0,1.0,145.0,3.0,90.92,9.44,60.0,6.3,3.14,143.0,410.0
1,1.0,2.0,245.0,3.0,70.94,7.96,45.0,4.34,3.63,130.0,209.0
1,1.0,2.0,165.0,3.0,96.68,10.27,30.0,6.8,3.47,130.0,449.0
1,1.0,2.0,136.0,3.0,99.52,11.5,30.0,6.01,5.5,281.0,0.0
1,1.0,2.0,171.0,3.0,78.03,8.19,60.0,5.43,2.76,183.0,449.0
1,1.0,2.0,80.0,3.0,96.93,11.47,30.0,7.67,3.8,245.0,409.0
1,1.0,2.0,69.0,3.0,96.73,10.03,45.0,6.71,3.31,255.0,449.0
1,1.0,2.0,32.0,3.0,78.33,7.97,60.0,5.36,2.62,112.0,474.0
1,1.0,2.0,23.0,3.0,71.87,7.28,60.0,4.9,2.38,245.0,438.0
1,1.0,2.0,37.0,3.0,97.3,10.01,30.0,6.72,3.29,268.0,483.0
1,1.0,2.0,43.0,3.0,78.15,7.95,30.0,5.34,2.61,0.0,488.0
1,1.0,2.0,34.0,3.0,96.86,8.58,45.0,5.76,2.82,11.0,488.0
1,1.0,2.0,271.0,3.0,71.2,11.8,45.0,5.5,6.3,0.0,0.0
1,1.0,2.0,253.0,3.0,71.81,10.35,60.0,5.35,5.0,77.0,0.0
1,1.0,2.0,213.0,3.0,97.3,13.17,45.0,7.9,5.28,77.0,195.0
1,1.0,2.0,210.0,3.0,71.39,8.64,30.0,5.11,3.53,204.0,0.0
1,1.0,2.0,235.0,3.0,71.72,6.9,45.0,4.17,2.73,130.0,351.0
1,1.0,2.0,158.0,3.0,71.23,8.98,30.0,5.93,3.04,77.0,419.0
1,1.0,2.0,124.0,3.0,97.99,9.51,45.0,5.84,3.68,268.0,209.0
1,1.0,2.0,132.0,3.0,98.64,11.19,30.0,6.76,4.42,260.0,0.0
1,1.0,2.0,93.0,3.0,72.06,7.55,45.0,4.93,2.62,268.0,0.0
1,1.0,2.0,71.0,3.0,71.74,8.8,60.0,5.87,2.92,231.0,351.0
1,1.0,2.0,64.0,3.0,72.36,5.95,30.0,3.96,1.99,268.0,419.0
1,1.0,2.0,67.0,3.0,78.63,8.04,60.0,5.37,2.67,230.0,449.0
1,1.0,2.0,108.0,3.0,85.77,10.22,45.0,6.74,3.48,268.0,139.0
1,1.0,3.0,30.0,3.0,72.64,5.84,45.0,3.93,1.91,54.0,465.0
1,1.0,3.0,220.0,3.0,86.91,12.95,45.0,5.43,7.52,0.0,0.0
1,1.0,3.0,276.0,3.0,83.61,9.59,30.0,5.26,4.33,57.0,0.0
1,1.0,3.0,222.0,3.0,92.81,12.86,30.0,5.82,7.04,180.0,0.0
1,1.0,3.0,223.0,3.0,98.79,14.91,45.0,7.22,7.69,227.0,0.0
1,1.0,3.0,247.0,3.0,77.11,9.09,60.0,5.58,3.51,57.0,176.0
1,1.0,3.0,206.0,3.0,84.08,8.85,30.0,5.08,3.77,141.0,176.0
1,1.0,3.0,233.0,3.0,77.59,8.73,45.0,5.53,3.2,57.0,305.0
1,1.0,3.0,137.0,3.0,87.83,13.86,30.0,6.23,7.63,265.0,0.0
1,1.0,3.0,139.0,3.0,92.95,13.92,30.0,7.47,6.45,280.0,0.0
1,1.0,3.0,167.0,3.0,90.15,10.95,60.0,7.29,3.66,57.0,402.0
1,1.0,3.0,87.0,3.0,79.02,8.09,60.0,5.34,2.75,111.0,402.0
1,1.0,3.0,98.0,3.0,90.48,10.92,30.0,7.23,3.69,132.0,305.0
1,1.0,4.0,218.0,3.0,98.59,12.81,30.0,6.99,5.82,87.0,0.0
1,1.0,4.0,241.0,3.0,84.04,11.46,60.0,7.02,4.44,110.0,0.0
1,1.0,4.0,209.0,3.0,96.83,11.64,45.0,6.92,4.72,253.0,148.0
1,1.0,4.0,119.0,3.0,93.51,9.94,30.0,5.44,4.5,0.0,224.0
1,1.0,4.0,195.0,3.0,96.69,9.1,30.0,5.88,3.22,110.0,429.0
1,1.0,4.0,188.0,3.0,96.9,11.86,45.0,7.74,4.12,50.0,283.0
1,1.0,4.0,152.0,3.0,84.12,7.51,30.0,4.95,2.56,196.0,97.0
1,1.0,4.0,77.0,3.0,96.91,8.65,30.0,5.77,2.87,271.0,0.0
1,1.0,4.0,99.0,3.0,72.94,5.95,45.0,3.94,2.01,271.0,56.0
1,1.0,4.0,95.0,3.0,79.85,8.18,45.0,5.32,2.86,247.0,338.0
1,1.0,4.0,248.0,3.0,70.94,9.65,60.0,6.08,3.57,110.0,148.0
1,1.0,4.0,207.0,3.0,96.75,9.73,30.0,5.92,3.81,0.0,0.0
1,1.0,4.0,178.0,3.0,84.25,7.97,45.0,5.0,2.97,32.0,0.0
1,1.0,4.0,203.0,3.0,78.34,8.71,45.0,5.49,3.22,110.0,226.0
1,1.0,4.0,202.0,3.0,84.09,10.78,45.0,6.9,3.88,166.0,226.0
1,1.0,4.0,135.0,3.0,74.26,11.5,30.0,6.05,5.45,32.0,139.0
1,1.0,4.0,182.0,3.0,90.9,8.49,30.0,5.4,3.09,48.0,139.0
1,1.0,4.0,201.0,3.0,90.7,8.29,60.0,5.38,2.9,196.0,0.0
1,1.0,4.0,117.0,3.0,79.72,7.61,45.0,4.48,3.14,18.0,224.0
1,1.0,4.0,116.0,3.0,92.85,12.5,60.0,7.32,5.18,81.0,0.0
1,1.0,4.0,89.0,3.0,85.44,7.37,45.0,4.86,2.51,225.0,226.0
2,1.0,1.0,280.0,2.0,77.77,13.0,60.0,5.24,7.76,0.0,0.0
2,1.0,1.0,262.0,2.0,83.15,11.21,45.0,6.21,5.0,174.0,0.0
2,1.0,1.0,255.0,2.0,78.13,9.36,45.0,4.82,4.54,174.0,252.0
2,1.0,1.0,261.0,2.0,96.67,11.32,30.0,6.21,5.11,0.0,311.0
2,1.0,1.0,126.0,2.0,98.62,11.1,45.0,6.8,4.31,265.0,0.0
2,1.0,1.0,120.0,2.0,99.08,11.97,45.0,6.86,5.11,274.0,0.0
2,1.0,1.0,106.0,2.0,97.11,10.43,30.0,6.77,3.66,148.0,311.0
2,1.0,1.0,161.0,2.0,83.88,8.8,45.0,5.87,2.94,0.0,468.0
2,1.0,1.0,105.0,2.0,79.02,6.92,60.0,4.4,2.52,274.0,276.0
2,1.0,1.0,101.0,2.0,78.24,6.79,60.0,4.43,2.36,163.0,311.0
2,1.0,1.0,164.0,2.0,97.2,11.56,30.0,7.71,3.85,44.0,468.0
2,1.0,1.0,149.0,2.0,71.36,8.81,45.0,5.91,2.91,79.0,468.0
2,1.0,1.0,170.0,2.0,83.95,10.13,45.0,6.78,3.35,126.0,468.0
2,1.0,1.0,73.0,2.0,97.39,8.66,60.0,5.77,2.89,274.0,382.0
2,1.0,1.0,147.0,2.0,84.72,7.27,60.0,4.87,2.4,154.0,468.0
2,1.0,1.0,86.0,2.0,72.09,7.33,45.0,4.89,2.44,274.0,435.0
2,1.0,1.0,11.0,2.0,97.27,11.43,30.0,7.67,3.76,79.0,493.0
2,1.0,1.0,2.0,2.0,97.45,11.43,30.0,7.66,3.76,163.0,445.0
2,1.0,1.0,22.0,2.0,96.98,10.01,45.0,6.72,3.29,97.0,493.0
2,1.0,1.0,42.0,2.0,84.89,8.64,30.0,5.81,2.83,174.0,494.0
2,1.0,1.0,36.0,2.0,72.13,8.69,30.0,5.84,2.85,265.0,230.0
2,1.0,1.0,14.0,2.0,90.69,7.9,30.0,5.31,2.59,274.0,491.0
2,1.0,1.0,12.0,2.0,85.11,8.63,30.0,5.8,2.83,113.0,493.0
2,1.0,1.0,9.0,2.0,84.88,8.63,45.0,5.8,2.83,193.0,494.0
2,1.0,1.0,10.0,2.0,90.85,10.74,30.0,7.2,3.53,203.0,494.0
2,1.0,1.0,19.0,2.0,90.49,9.32,45.0,6.25,3.06,213.0,494.0
2,1.0,1.0,47.0,2.0,71.98,8.69,30.0,5.84,2.85,148.0,461.0
2,1.0,1.0,8.0,2.0,96.92,8.57,45.0,5.75,2.82,222.0,494.0
2,1.0,1.0,7.0,2.0,84.59,7.22,60.0,4.85,2.37,231.0,494.0
2,1.0,1.0,24.0,2.0,84.86,7.21,30.0,4.85,2.36,241.0,494.0
2,1.0,1.0,20.0,2.0,91.19,9.31,30.0,6.25,3.06,256.0,494.0
2,1.0,1.0,29.0,2.0,72.6,5.84,30.0,3.93,1.91,126.0,497.0
2,1.0,1.0,48.0,2.0,97.21,9.99,30.0,6.7,3.29,132.0,497.0
2,1.0,2.0,284.0,2.0,71.18,14.11,60.0,5.03,9.08,0.0,0.0
2,1.0,2.0,229.0,2.0,83.72,8.78,60.0,5.18,3.6,0.0,317.0
2,1.0,2.0,212.0,2.0,78.37,9.97,45.0,5.63,4.35,230.0,0.0
2,1.0,2.0,243.0,2.0,89.38,10.72,45.0,6.54,4.18,142.0,317.0
2,1.0,2.0,244.0,2.0,70.91,8.57,45.0,5.19,3.38,0.0,413.0
2,1.0,2.0,184.0,2.0,71.43,9.4,60.0,5.98,3.43,247.0,317.0
2,1.0,2.0,166.0,2.0,90.63,8.28,60.0,5.41,2.87,142.0,442.0
2,1.0,2.0,121.0,2.0,99.29,10.43,45.0,5.89,4.55,274.0,0.0
2,1.0,2.0,160.0,2.0,84.54,7.38,45.0,4.9,2.48,201.0,442.0
2,1.0,2.0,76.0,2.0,91.38,8.02,45.0,5.32,2.7,229.0,442.0
2,1.0,2.0,177.0,2.0,97.08,10.12,30.0,6.76,3.37,247.0,461.0
2,1.0,2.0,58.0,2.0,71.92,7.31,60.0,4.89,2.42,274.0,256.0
2,1.0,2.0,84.0,2.0,78.3,6.53,60.0,4.38,2.15,281.0,461.0
2,1.0,2.0,51.0,2.0,78.03,9.36,60.0,6.29,3.07,230.0,300.0
2,1.0,2.0,21.0,2.0,72.5,7.26,60.0,4.89,2.38,237.0,300.0
2,1.0,2.0,49.0,2.0,91.38,10.72,30.0,7.2,3.53,243.0,300.0
2,1.0,2.0,40.0,2.0,72.36,8.67,45.0,5.83,2.84,248.0,300.0
2,1.0,2.0,45.0,2.0,97.58,10.0,30.0,6.71,3.29,253.0,300.0
2,1.0,2.0,6.0,2.0,72.43,8.68,60.0,5.83,2.85,259.0,300.0
2,1.0,3.0,274.0,2.0,72.18,10.19,60.0,5.28,4.91,0.0,0.0
2,1.0,3.0,270.0,2.0,78.55,11.67,45.0,5.04,6.63,64.0,0.0
2,1.0,3.0,256.0,2.0,77.3,11.1,45.0,5.81,5.29,161.0,0.0
2,1.0,3.0,258.0,2.0,84.51,10.37,45.0,6.07,4.3,161.0,268.0
2,1.0,3.0,216.0,2.0,90.85,11.1,45.0,6.47,4.64,229.0,268.0
2,1.0,3.0,205.0,2.0,77.75,10.63,60.0,6.48,4.15,0.0,321.0
2,1.0,3.0,242.0,2.0,96.07,12.09,45.0,7.83,4.26,64.0,389.0
2,1.0,3.0,128.0,2.0,98.95,10.4,60.0,5.9,4.5,261.0,0.0
2,1.0,3.0,97.0,2.0,96.99,8.9,45.0,5.82,3.09,270.0,268.0
2,1.0,3.0,193.0,2.0,96.87,11.75,45.0,7.72,4.03,136.0,389.0
2,1.0,3.0,110.0,2.0,90.94,11.04,30.0,7.23,3.81,270.0,407.0
2,1.0,3.0,88.0,2.0,90.89,8.2,30.0,5.34,2.86,277.0,0.0
2,1.0,3.0,90.0,2.0,84.72,7.51,45.0,4.87,2.64,49.0,321.0
2,1.0,3.0,172.0,2.0,90.8,10.83,60.0,7.26,3.57,161.0,473.0
2,1.0,3.0,104.0,2.0,78.64,8.19,60.0,5.37,2.82,56.0,321.0
2,1.0,3.0,169.0,2.0,84.32,8.71,45.0,5.84,2.87,64.0,474.0
2,1.0,3.0,60.0,2.0,78.61,9.41,45.0,6.3,3.11,200.0,473.0
2,1.0,3.0,61.0,2.0,90.47,10.77,30.0,7.21,3.55,277.0,149.0
2,1.0,3.0,13.0,2.0,97.03,8.6,30.0,5.77,2.83,98.0,474.0
2,1.0,3.0,26.0,2.0,71.97,7.28,45.0,4.9,2.39,114.0,474.0
2,1.0,3.0,54.0,2.0,78.4,9.37,30.0,6.29,3.08,277.0,195.0
2,1.0,3.0,65.0,2.0,84.93,8.63,45.0,5.79,2.84,277.0,220.0
2,1.0,3.0,53.0,2.0,85.16,8.63,30.0,5.78,2.85,282.0,220.0
2,1.0,3.0,83.0,2.0,72.05,7.25,30.0,4.87,2.38,49.0,456.0
2,1.0,3.0,41.0,2.0,97.31,8.57,45.0,5.75,2.82,56.0,461.0
2,1.0,4.0,259.0,2.0,83.4,13.55,45.0,7.27,6.27,0.0,0.0
2,1.0,4.0,208.0,2.0,84.61,12.5,45.0,7.08,5.42,128.0,0.0
2,1.0,4.0,236.0,2.0,83.26,11.51,60.0,7.04,4.48,182.0,0.0
2,1.0,4.0,266.0,2.0,77.69,9.37,30.0,4.82,4.55,0.0,237.0
2,1.0,4.0,224.0,2.0,85.32,10.21,60.0,5.19,5.02,182.0,150.0
2,1.0,4.0,217.0,2.0,80.84,10.69,60.0,5.57,5.12,228.0,150.0
2,1.0,4.0,191.0,2.0,77.54,8.52,60.0,5.47,3.05,128.0,299.0
2,1.0,4.0,187.0,2.0,72.18,6.44,30.0,4.06,2.37,128.0,391.0
2,1.0,4.0,214.0,2.0,96.72,11.01,45.0,6.87,4.14,252.0,150.0
2,1.0,4.0,143.0,2.0,71.48,7.55,60.0,4.98,2.56,0.0,440.0
2,1.0,4.0,157.0,2.0,83.71,8.99,45.0,5.9,3.09,53.0,440.0
2,1.0,4.0,107.0,2.0,79.03,8.23,60.0,5.37,2.85,252.0,368.0
2,1.0,4.0,142.0,2.0,78.5,9.46,45.0,6.33,3.13,228.0,452.0
2,1.0,4.0,52.0,2.0,78.76,9.46,45.0,6.31,3.15,271.0,368.0
2,1.0,4.0,148.0,2.0,90.37,7.97,45.0,5.34,2.63,252.0,459.0
2,1.0,4.0,74.0,2.0,72.09,8.74,45.0,5.86,2.88,110.0,440.0
2,1.0,4.0,103.0,2.0,98.03,10.27,30.0,6.71,3.56,274.0,0.0
2,1.0,4.0,4.0,2.0,78.1,6.55,30.0,4.4,2.14,274.0,122.0
2,1.0,4.0,39.0,2.0,71.97,5.87,45.0,3.95,1.92,271.0,422.0
3,1.0,1.0,283.0,1.0,77.64,15.85,45.0,5.56,10.29,0.0,0.0
3,1.0,1.0,251.0,1.0,77.43,8.98,45.0,4.78,4.2,169.0,0.0
3,1.0,1.0,257.0,1.0,83.53,10.54,45.0,5.34,5.2,169.0,206.0
3,1.0,1.0,127.0,1.0,74.39,7.29,30.0,4.0,3.29,279.0,206.0
3,1.0,1.0,125.0,1.0,79.79,8.87,60.0,5.38,3.49,272.0,0.0
3,1.0,1.0,109.0,1.0,72.19,7.56,45.0,4.92,2.64,280.0,0.0
3,1.0,1.0,70.0,1.0,85.33,7.28,45.0,4.85,2.43,169.0,466.0
3,1.0,1.0,144.0,1.0,71.54,5.93,60.0,3.98,1.95,186.0,466.0
3,1.0,1.0,150.0,1.0,78.18,9.42,45.0,6.32,3.1,211.0,466.0
3,1.0,1.0,59.0,1.0,97.36,11.47,45.0,7.66,3.81,280.0,142.0
3,1.0,1.0,55.0,1.0,85.03,8.67,60.0,5.79,2.88,279.0,420.0
3,1.0,1.0,63.0,1.0,78.97,9.38,45.0,6.29,3.09,236.0,466.0
3,1.0,1.0,44.0,1.0,71.8,8.7,60.0,5.85,2.85,250.0,466.0
3,1.0,1.0,72.0,1.0,72.48,5.85,30.0,3.93,1.92,264.0,466.0
3,1.0,1.0,25.0,1.0,84.45,10.07,30.0,6.76,3.31,211.0,486.0
3,1.0,1.0,46.0,1.0,96.86,8.59,45.0,5.77,2.83,250.0,486.0
3,1.0,1.0,27.0,1.0,90.86,9.32,45.0,6.25,3.07,236.0,487.0
3,1.0,1.0,81.0,1.0,78.29,7.93,60.0,5.32,2.61,279.0,472.0
3,1.0,1.0,78.0,1.0,91.01,7.88,45.0,5.28,2.6,273.0,466.0
3,1.0,1.0,35.0,1.0,72.34,8.69,45.0,5.85,2.84,0.0,494.0
3,1.0,1.0,1.0,1.0,71.68,7.28,45.0,4.9,2.37,20.0,494.0
3,1.0,1.0,50.0,1.0,96.84,9.99,30.0,6.7,3.29,272.0,185.0
3,1.0,1.0,33.0,1.0,97.34,10.0,45.0,6.7,3.29,226.0,486.0
3,1.0,1.0,17.0,1.0,78.19,6.53,60.0,4.39,2.14,226.0,492.0
3,1.0,2.0,281.0,1.0,90.05,18.81,45.0,7.47,11.34,0.0,0.0
3,1.0,2.0,239.0,1.0,77.77,9.9,60.0,5.71,4.19,0.0,362.0
3,1.0,2.0,232.0,1.0,89.6,11.11,45.0,6.61,4.51,130.0,362.0
3,1.0,2.0,204.0,1.0,71.93,9.07,30.0,5.12,3.95,232.0,0.0
3,1.0,2.0,129.0,1.0,74.04,7.3,45.0,4.05,3.26,269.0,0.0
3,1.0,2.0,134.0,1.0,73.56,10.81,30.0,6.0,4.81,269.0,228.0
3,1.0,2.0,114.0,1.0,92.33,8.23,60.0,5.29,2.93,232.0,276.0
3,1.0,2.0,111.0,1.0,91.42,10.95,30.0,7.2,3.75,251.0,276.0
3,1.0,3.0,268.0,1.0,83.84,9.43,45.0,5.21,4.22,0.0,0.0
3,1.0,3.0,254.0,1.0,71.09,10.46,30.0,5.37,5.09,66.0,0.0
3,1.0,3.0,279.0,1.0,76.5,14.23,30.0,6.3,7.94,0.0,296.0
3,1.0,3.0,265.0,1.0,71.22,9.16,60.0,5.19,3.96,180.0,0.0
3,1.0,3.0,118.0,1.0,73.37,10.2,60.0,5.95,4.25,245.0,0.0
3,1.0,3.0,185.0,1.0,84.38,7.58,45.0,4.92,2.66,265.0,0.0
3,1.0,3.0,156.0,1.0,71.73,8.95,45.0,5.94,3.02,66.0,243.0
3,1.0,3.0,154.0,1.0,90.48,10.96,60.0,7.28,3.69,245.0,208.0
3,1.0,3.0,163.0,1.0,78.21,8.21,45.0,5.44,2.77,180.0,244.0
3,1.0,3.0,146.0,1.0,84.47,8.79,60.0,5.86,2.93,126.0,243.0
3,1.0,3.0,176.0,1.0,97.02,8.7,30.0,5.8,2.9,265.0,133.0
3,1.0,3.0,94.0,1.0,91.83,8.23,45.0,5.31,2.92,278.0,296.0
3,1.0,3.0,96.0,1.0,91.59,9.54,45.0,6.24,3.29,278.0,416.0
3,1.0,3.0,68.0,1.0,72.48,7.33,60.0,4.9,2.43,165.0,243.0
3,1.0,3.0,75.0,1.0,91.21,10.77,45.0,7.2,3.57,237.0,244.0
3,1.0,4.0,269.0,1.0,85.25,14.31,30.0,6.49,7.81,0.0,0.0
3,1.0,4.0,273.0,1.0,72.64,14.69,30.0,5.76,8.92,127.0,0.0
3,1.0,4.0,250.0,1.0,96.18,12.67,30.0,7.9,4.77,0.0,323.0
3,1.0,4.0,246.0,1.0,95.98,9.7,60.0,6.01,3.68,127.0,375.0
3,1.0,4.0,159.0,1.0,72.01,8.97,45.0,5.92,3.04,81.0,323.0
3,1.0,4.0,199.0,1.0,78.04,7.18,60.0,4.53,2.65,232.0,375.0
3,1.0,4.0,112.0,1.0,97.75,9.02,60.0,5.79,3.23,269.0,0.0
3,1.0,4.0,200.0,1.0,96.96,11.69,45.0,7.7,3.99,81.0,379.0
3,1.0,4.0,91.0,1.0,72.6,7.62,30.0,4.92,2.7,269.0,116.0
3,1.0,4.0,92.0,1.0,85.29,7.57,45.0,4.86,2.71,269.0,221.0
3,1.0,4.0,197.0,1.0,84.69,7.54,60.0,4.9,2.64,102.0,379.0
3,1.0,4.0,151.0,1.0,96.65,8.73,30.0,5.82,2.91,0.0,461.0
3,1.0,4.0,123.0,1.0,73.98,10.17,60.0,5.93,4.24,283.0,221.0
3,1.0,4.0,62.0,1.0,90.94,9.37,30.0,6.25,3.11,269.0,323.0
4,1.0,1.0,275.0,1.0,90.16,15.86,30.0,6.29,9.56,0.0,0.0
4,1.0,1.0,249.0,1.0,83.77,10.81,60.0,6.21,4.6,140.0,0.0
4,1.0,1.0,228.0,1.0,83.15,10.75,60.0,6.21,4.54,140.0,135.0
4,1.0,1.0,179.0,1.0,72.07,9.79,30.0,6.03,3.76,140.0,267.0
4,1.0,1.0,189.0,1.0,90.52,8.84,45.0,5.48,3.36,200.0,267.0
4,1.0,1.0,238.0,1.0,71.3,7.9,60.0,5.05,2.85,200.0,417.0
4,1.0,1.0,155.0,1.0,71.63,9.08,30.0,5.95,3.13,140.0,414.0
4,1.0,1.0,173.0,1.0,77.74,9.53,45.0,6.35,3.18,254.0,267.0
4,1.0,1.0,113.0,1.0,85.65,8.91,30.0,5.81,3.1,254.0,314.0
4,1.0,1.0,115.0,1.0,78.96,8.09,30.0,5.35,2.74,271.0,314.0
4,1.0,1.0,56.0,1.0,91.08,7.9,60.0,5.3,2.61,279.0,417.0
4,1.0,2.0,226.0,1.0,80.46,11.52,60.0,4.89,6.62,0.0,0.0
4,1.0,2.0,272.0,1.0,71.54,10.32,30.0,4.5,5.82,51.0,0.0
4,1.0,2.0,219.0,1.0,73.17,8.97,60.0,4.28,4.69,122.0,0.0
4,1.0,2.0,230.0,1.0,83.15,11.41,30.0,7.03,4.38,143.0,0.0
4,1.0,2.0,225.0,1.0,86.29,10.61,30.0,5.17,5.44,248.0,0.0
4,1.0,2.0,231.0,1.0,71.02,6.94,30.0,4.17,2.77,143.0,119.0
4,1.0,2.0,183.0,1.0,83.54,10.8,30.0,6.91,3.89,143.0,231.0
4,1.0,2.0,237.0,1.0,89.57,11.38,30.0,7.36,4.02,143.0,347.0
4,1.0,2.0,192.0,1.0,71.42,9.65,45.0,6.01,3.64,204.0,347.0
4,1.0,2.0,234.0,1.0,83.85,7.71,30.0,4.98,2.73,51.0,432.0
4,1.0,2.0,153.0,1.0,83.82,7.43,30.0,4.92,2.5,201.0,231.0
4,1.0,2.0,102.0,1.0,72.63,6.09,60.0,3.95,2.13,261.0,347.0
4,1.0,2.0,66.0,1.0,72.41,5.95,60.0,3.96,1.99,201.0,285.0
4,1.0,3.0,277.0,1.0,83.32,18.33,45.0,7.89,10.44,0.0,0.0
4,1.0,3.0,198.0,1.0,90.37,8.72,60.0,5.47,3.25,0.0,267.0
4,1.0,3.0,186.0,1.0,84.38,8.13,60.0,5.01,3.12,57.0,267.0
4,1.0,3.0,211.0,1.0,90.6,9.53,60.0,5.53,4.0,107.0,267.0
4,1.0,3.0,131.0,1.0,91.6,12.23,30.0,7.34,4.89,278.0,0.0
4,1.0,4.0,263.0,1.0,71.5,11.51,45.0,6.25,5.26,0.0,0.0
5,1.0,1.0,227.0,2.0,96.25,12.03,30.0,7.09,4.94,0.0,0.0
5,1.0,1.0,267.0,2.0,77.81,11.0,30.0,5.0,5.99,134.0,0.0
5,1.0,1.0,264.0,2.0,96.36,13.21,60.0,7.17,6.04,0.0,135.0
5,1.0,1.0,196.0,2.0,96.63,12.04,45.0,7.77,4.27,134.0,297.0
5,1.0,1.0,194.0,2.0,96.71,9.02,30.0,5.87,3.15,179.0,297.0
5,1.0,1.0,180.0,2.0,78.16,8.39,30.0,5.43,2.97,229.0,297.0
5,1.0,1.0,168.0,2.0,90.19,10.87,30.0,7.25,3.61,258.0,0.0
5,1.0,1.0,100.0,2.0,72.26,7.43,45.0,4.91,2.52,258.0,59.0
5,1.0,1.0,174.0,2.0,84.6,8.85,30.0,5.87,2.98,179.0,374.0
5,1.0,1.0,82.0,2.0,90.99,8.01,30.0,5.33,2.68,258.0,130.0
5,1.0,1.0,162.0,2.0,77.96,9.48,30.0,6.33,3.14,103.0,135.0
5,1.0,1.0,175.0,2.0,90.26,9.39,30.0,6.28,3.1,258.0,185.0
5,1.0,1.0,85.0,2.0,84.97,8.7,60.0,5.82,2.88,103.0,195.0
5,1.0,2.0,215.0,2.0,79.17,8.48,45.0,4.62,3.86,0.0,0.0
6,1.0,1.0,221.0,3.0,72.4,10.41,60.0,5.25,5.16,0.0,0.0
6,1.0,1.0,133.0,3.0,91.35,9.36,60.0,5.44,3.91,253.0,0.0
6,1.0,1.0,138.0,3.0,88.43,12.61,60.0,6.08,6.53,89.0,110.0
6,1.0,2.0,282.0,3.0,84.76,20.64,60.0,8.05,12.6,0.0,0.0
6,1.0,2.0,141.0,3.0,73.52,9.85,30.0,4.32,5.53,275.0,0.0
6,1.0,3.0,140.0,3.0,100.71,11.9,60.0,5.98,5.92,275.0,99.0
